record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
21420,A1025,oui,oui,06/17/2017,SANGALA 1,lobaye,4.061119,18.2025,hpv_60,mbaiki,0,
18159,A1026,oui,oui,11/04/2016,PISSA LEBOKO,lobaye,4.056145,18.19388,hpv_60,mbaiki,0,
20178,A1026,oui,oui,03/13/2017,PISSA LEBOKO,lobaye,4.056121,18.19381,hpv_60,mbaiki,0,
21426,A1026,oui,oui,06/17/2017,PISSA LEBOKO,lobaye,4.056169,18.1938,hpv_60,mbaiki,16000,
23613,A1026,oui,oui,11/09/2017,PISSA LEBOKO,lobaye,4.056134,18.19385,hpv_60,mbaiki,0,2017-11-09 11:05:47
26916,A1026,oui,oui,03/10/2018,PISSA LEBOKO QTIER ARABE,,4.05609,18.19384,hpv_60,,0,eep
34499,A1026,oui,oui,12/18/2018,PISSA LEBOKO QTIER ARABE,lobaye,4.055973,18.19383,hpv_60_2000,mbaiki,16000,eep
17967,A1027,oui,oui,10/22/2016,BOKOUMOU,lobaye,,,india_mark_2,mbaiki,0,
21408,A1027,oui,oui,06/16/2017,BOKOUMOU,lobaye,4.26726,18.27336,india_mark_2,mbaiki,0,
23580,A1027,oui,oui,11/07/2017,BOKOUMOU,lobaye,4.267243,18.27336,india_mark_2,mbaiki,0,2017-11-07 13:53:39
26784,A1027,oui,oui,03/06/2018,BOKOUMOU,,4.267301,18.27338,india_mark_2,,0,eep
34637,A1027,oui,oui,12/20/2018,BOKOUMOU,lobaye,4.267264,18.27338,india_mark_2,mbaiki,0,eep
17997,A1028,oui,oui,10/25/2016,BANGUI BOUCHIA 1,lobaye,3.836792,18.17133,india_mark_2,mbaiki,0,
20160,A1028,oui,oui,03/13/2017,Bangui Bouchia 1,lobaye,3.836721,18.17134,india_mark_2,mbaiki,0,
23622,A1028,oui,oui,11/10/2017,BANGUI BOUCHIA 1,lobaye,3.836699,18.17133,india_mark_2,mbaiki,0,2017-11-10 08:44:21
26961,A1028,oui,oui,03/10/2018,BANGUI BOUCHIA 1,,3.836754,18.17136,india_mark_2,,0,eep
32784,A1028,oui,oui,10/13/2018,BANGUI BOUCHIA 1,Lobaye,3.836713,18.17132,india_mark_2,Mbaiki,0,eep
