record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
44713,7.462064,15.621356,EEP traditionnel,X009,MAKELE 2,Ouham Pende,NGAOUNDAYE,6,EEP 1,1/20/2020,3753,457,Vergnet Hydro India,"Oui, mais pas correctement",Oui,
44380,5.541221,18.269098,Visite de suivi,Z121,Boutoukpa,Ombella M'Poko,Bogangolo,OM_Mission_2,EEP 2,1/20/2020,314,53,Vergnet HPV 60,Non,Non,
44383,5.477367,18.320169,EEP traditionnel,Z120,Boban,Ombella M'Poko,Bogangolo,OM_Mission_2,EEP 2,1/20/2020,1623,64,Vergnet HPV 60,Oui,Oui,
44386,4.974265,18.689917,EEP traditionnel,R614,Ndara 2,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/21/2020,211,63,Vergnet HPV 60,Non,"Oui, mais pas correctement",
44188,4.230767,18.266157,EEP traditionnel,Z005,Bossongo 1,LOBAYE,Mbaïki,1,EEP 4,1/21/2020,2000,60,India MARK 2,Oui,Oui,
44716,7.469182,15.605935,EEP traditionnel,X0015,LYCEE DE NGAOUNDAYE,Ouham Pende,NGAOUNDAYE,4,EEP 1,1/21/2020,527,527,Vergnet Hydro India,"Oui, mais pas correctement",Oui,
44191,4.226097,18.261854,EEP traditionnel,Z006,Bossongo 2,LOBAYE,Mbaïki,1,EEP 4,1/21/2020,680,100,India MARK 2,Oui,Oui,
44635,7.479028,15.604204,EEP traditionnel,X0011,POUNGBA,Ouham Pende,NGAOUNDAYE,4,EEP 1,1/21/2020,975,624,India MARK 2,"Oui, mais pas correctement",Oui,
44389,5.101627,18.575791,EEP traditionnel,F1959,Ndougbe 1,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/21/2020,192,67,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44638,7.472247,15.552713,EEP traditionnel,X0012,NGOUBOYE centre 2,Ouham Pende,NGAOUNDAYE,4,EEP 1,1/21/2020,557,557,India MARK 2,"Oui, mais pas correctement",Oui,
44392,4.982827,18.679562,EEP traditionnel,Z228,NDARRA centre,Ombella M'Poko,Damara,2,EEP 2,1/21/2020,365,65,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44149,4.049818,18.187887,EEP traditionnel,Z0017,Pissa Gbaka,LOBAYE,Mbaïki,1,EEP 4,1/21/2020,1480,120,India MARK 2,Oui,Oui,
44395,4.953636,18.693891,EEP traditionnel,Z125,Damara Lingangue 2,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/21/2020,668,148,Vergnet Hydro India,Non,Oui,
44152,4.049024,18.190407,EEP traditionnel,A754,Pissa Mokotamba,Lobaye,Mbaiki,1,EEP 4,1/21/2020,680,120,Vergnet HPV 60,Oui,Oui,
